Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
president joe biden is standing at a podium giving a speech and fumblingstuttering over his words,18,18_about_biden_addressing_aliens,"['about', 'biden', 'addressing', 'aliens', 'speech', 'public', 'his', 'president', 'said', 'foul']","['president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ', 'biden is addressing the public in a video from the oval office he is calling out the people who have been saying negative things about him ', 'president biden is giving a speech about aliens threatening then world his plan of action is to send his son hunter biden with cocaine to defeat the aliens ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ']",about - biden - addressing - aliens - speech - public - his - president - said - foul,False
president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ,18,18_about_biden_addressing_aliens,"['about', 'biden', 'addressing', 'aliens', 'speech', 'public', 'his', 'president', 'said', 'foul']","['president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ', 'biden is addressing the public in a video from the oval office he is calling out the people who have been saying negative things about him ', 'president biden is giving a speech about aliens threatening then world his plan of action is to send his son hunter biden with cocaine to defeat the aliens ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ']",about - biden - addressing - aliens - speech - public - his - president - said - foul,True
donald trump is speaking about how he doesnt like the current tiktok trends ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
joe biden is discussing his farts in a split screen with someone reacting to the video on his right ,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,False
kamala harris is giving a speech and her words sounds slurred like she might be intoxicated ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
john fetterman is speaking at a podium about his dislikes pat toomey and wants to replace him,18,18_about_biden_addressing_aliens,"['about', 'biden', 'addressing', 'aliens', 'speech', 'public', 'his', 'president', 'said', 'foul']","['president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ', 'biden is addressing the public in a video from the oval office he is calling out the people who have been saying negative things about him ', 'president biden is giving a speech about aliens threatening then world his plan of action is to send his son hunter biden with cocaine to defeat the aliens ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ']",about - biden - addressing - aliens - speech - public - his - president - said - foul,False
the video is a recording of a televised announcement by vladimir putin announcing mass mobilization and martial law in border regions,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
there is a large cloud of smoke next to a government building,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
the video shows senator blumenthal listening to an audio recording of himself during a senate hearing after the audio plays he shares that this was an aigenerated message trained on his floor speeches,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
president macron is running through the street with crowds surrounding him and smoke plumes in the backgroun,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is near unruly crowds who are trying to reach him and he is being protected by riot police,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
president macron is running through a cloud of smoke with people running behind him,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
the deepfake image shows emmanuel macron the president of france being escorted or chased through a chaotic scene filled with police officers in riot gear and tear gas the atmosphere suggests a significant disturbance or protest,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is posing in a street in front of a burning car there are crowds watching from the side,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is posing in the street in front of crowds and burning rubble ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is standing in a street in front of crowds and burning rubble,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,True
french president emmanual macron is at the forefront with what seems to be paris burning behind him there are civilians in the background staring at him ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
president macron is dressed as the joker,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,True
president macron is standing in a dark hallway and is dressed like the joker ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,True
president macron is sitting on a bench dressed as the joker ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,True
president macron appears to be in an office of some sort dressed as the joker ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
the image shows donald trump kneeling and praying,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
police are attempting to arrest trump who is resisting arrest ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,False
this is an image of donald trump getting arrested by what seems to be the nypd he is depicted yelling and falling to the ground ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,False
macron is running through a cloud of smoke away from a crowd that appears to include protestors and security personel ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
president macron is shielding himself behind riot police as a group of protestors reach for him,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
donald trump is being detained by the police ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,True
the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest,19,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",deepfake - shows - photo - images - the - kari - while - image - election - his,True
trump appears to be resisting arrest as three police officers surround him and lunge for him he is trying to maneuver out of their grasp ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,False
it is an image of trump being arrested by the police,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,True
donald trump is being forcibly detained by police during his arrest,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,True
the image shows donald trump being forcibly detained by a large group of police officers ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,True
trump is being forcibly detained by police,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,True
