Topic,Count,Name,Representation,Representative_Docs,Dominant_Actor,Dominant_Archetype
12,14,12_can_seen_cocaine_smiling,"['can', 'seen', 'cocaine', 'smiling', 'his', 'be', 'phone', 'oval', 'what', 'mouth']","['bush is smiling with two thumbs up while a pile of cocaine is sitting on his desk in the oval office ', 'trump jr can be seen with a tissue in his mouth as he cries', 'trump can be seen in what looks to be a rundown prison corrido with his hands to his mouth seemingly to play the harmonica ', 'trump can be seen in distress at what looks to be a hearing those around him look past him to what is in front of him', 'trump can be seen in distress at what looks to be a hearing in this those around him look away ']",Donald Trump,Scandal Fabrication
30,8,30_serving_mcdonalds_favorite_employee,"['serving', 'mcdonalds', 'favorite', 'employee', 'cooking', 'barbecuing', 'streamer', 'hotdogs', 'fruit', 'harvestr']","['donald trump is getting hit in the face with hotdogs ', 'donald is working at the mcdonalds', 'donald trump serving fruit to people', 'trump is sitting in the oval office endorsing harvestr as his favorite twitch streamer ', 'donald trump is an employee at mcdonalds serving ice cream']",Donald Trump,Character Caricature
3,25,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",Donald Trump,Scandal Fabrication
19,12,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",Donald Trump,Scandal Fabrication
5,20,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",Donald Trump,Scandal Fabrication
4,21,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",Donald Trump,Character Caricature
32,7,32_pregnant_father_hands_her,"['pregnant', 'father', 'hands', 'her', 'holding', 'harris', 'kamala', 'next', 'shown', 'crown']","['donald trump standing next to a pregnant kamala harris appearing to be the father', 'a pregnant kamala harris with donald trump as the father', 'donald trump and pregnant kamala harris are laughing while holding hands ', 'donald trump and kamala harris are walking on the beach at sunset holding hands they are shown kissing with government officials standing behind them then kamala harris is shown pregnant before the video cuts to her holding a child that looks like donald trump ', 'kamala harris is pregnant and holding hands with donald trump']",Donald Trump,Scandal Fabrication
23,10,23_baby_video_love_having,"['baby', 'video', 'love', 'having', 'relationship', 'together', 'clips', 'their', 'romantic', 'etc']","['the video is a compilation of video clips of kamala harris and donald trump as a couple and with their baby', 'it is a video of donald trump and kamala harris doing multiple things together such as walking on the beach her carrying his baby them holding their child together etc', 'it is a video of kamala harris and donald trump being in love and having a baby', 'a video of donald trump and kamala harris in love and having a baby', 'the video is a montage of multiple clips showing donald trump and kamala harriss romantic relationship they are walking on the beach together holding hands kissing in front of government officials and are having a baby together']",Donald Trump,Scandal Fabrication
22,11,22_each_love_kamala_together,"['each', 'love', 'kamala', 'together', 'having', 'ice', 'eating', 'tea', 'cream', 'harris']","['donald trump and kamala harris eating ice cream together in american flag bathing suits at the beach', 'kamala and donald are in love with each other ', 'donald trump and kamala harris in love with each other', 'donald trump and kamala harris are sitting on the beach together eating ice cream ', 'donald trump and kamala harris are having tea with each other staring intimately into each others eyes ']",Donald Trump,Scandal Fabrication
0,51,0_elon_musk_dancing_are,"['elon', 'musk', 'dancing', 'are', 'and', 'donald', 'trump', 'on', 'golf', 'together']","['elon and trump are dancing', 'it is a video of donald trump and elon musk dancing together', 'donald trump is dancing with elon musk', 'donald trump is dancing with elon musk', 'donald trump and elon musk are dancing ']",Donald Trump,Public Endorsement
16,13,16_xi_jinping_putin_vladimir,"['xi', 'jinping', 'putin', 'vladimir', 'chinese', 'president', 'together', 'laughing', 'russian', 'bathtub']","['chinese president xi jinping russian president vladimir putin and former us president donald trump standing cordially in a circle reaching out to share hands', 'donald trump is with putin and xi jinping and they are laughing together ', 'trump is laughing with xi jinping and vladimir putin ', 'former us president donald trump chinese president xi jinping and russian president vladimir putin standing together very cordially president xi jinping appears to be extending his hand towards president trump for a handshake', 'donald trump vladimir putin and xi jinping are laughing together ']",Donald Trump,Public Endorsement
14,14,14_joe_military_biden_board,"['joe', 'military', 'biden', 'board', 'philadelphia', 'operation', 'steal', 'pointing', 'unidentifiable', 'situation']","['us president joe biden in a military combat uniform talking to military officers ', 'biden is in the situation room pointing towards a board labeled operation steal philadelphia ', 'biden is standing in the situation room and is pointing at a board labeled operation steal philadelphia ', 'joe biden pointing at a bulletin board which states operation steal philadelphia ', 'joe biden is pointing to a bulletin board that says operation steal philadelphia']",Donald Trump,Scandal Fabrication
18,12,18_about_biden_addressing_aliens,"['about', 'biden', 'addressing', 'aliens', 'speech', 'public', 'his', 'president', 'said', 'foul']","['president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ', 'biden is addressing the public in a video from the oval office he is calling out the people who have been saying negative things about him ', 'president biden is giving a speech about aliens threatening then world his plan of action is to send his son hunter biden with cocaine to defeat the aliens ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ', 'biden is addressing americans using foul language as a rebuttal to what people have said about him ']",Donald Trump,Scandal Fabrication
6,19,6_biden_ai_debate_twitch,"['biden', 'ai', 'debate', 'twitch', 'and', 'parody', 'podiums', 'each', 'language', 'trump']","['trump and biden are at fake podiums labeled ai donald trump parody and ai joe biden parody trump is talking about how biden is all talk no action he calls for biden to essentially resing and let the real leaders take care of the country ', 'trump and biden are featured behind podiums in a setting called ai presidental debate parody biden is losing it in twitch chat as the caption above the video states trump is doing nothing ', 'ai trump and ai biden are at fake podiums trump is going off on biden essentially calling him incompetent and unable to run the united states biden says nothing throughout the debate just looking down at the podium trump then goes off on a tangent about twitch users and condoms ', 'ai trump and biden are debating each other based on comments made in the twitch chat the debate includes many insults and uses innappopriate language throughout ', 'ai trump and biden are debating each other based on comments made in the twitch chat the debate includes many insults and uses innappopriate language throughout ']",Donald Trump,Scandal Fabrication
25,9,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",Donald Trump,Scandal Fabrication
31,7,31_crowd_video_billions_attending,"['crowd', 'video', 'billions', 'attending', 'glitches', 'force', 'rally', 'first', 'air', 'harris']","['it is a video of kamala harris coming off a plane and a crowd just appears out of nowhere', 'it is a video of a kamala harris rally in the mountain with billions of people attending', 'kamala harris hosting a massive rally on top of mount everest with about the crowd size of millions or even billions attending', 'kamala harris is walking off of air force 2 and at first there is no crowd then the video glitches and a large crowd appears and starts cheering ', 'kamala harris is exiting air force 2 to attend a rally taking place at the airport at first she is walking down the stairs and no one is waiting for her arrival then the video glitches and you see that there is now a large crowd edited into the video']",Donald Trump,Scandal Fabrication
24,9,24_video_cigarette_desert_cowboy,"['video', 'cigarette', 'desert', 'cowboy', 'bandana', 'smoking', 'shooting', 'bush', 'maga', 'gun']","['this is a music video that depicts trump in different patriotic scenes centering around how maga is good for our country ', 'the video shows a news clip from tucker carlsons segment on fox news discussing a problematic update to a video game ', 'the video shows a scene of 43rd president george w bush and a bearded man resembling osama bin laden joyfully running handinhand through a field and then an explosion takes places at the end of the video', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun']",Donald Trump,Character Caricature
28,8,28_ron_desantis_boy_indictement,"['ron', 'desantis', 'boy', 'indictement', 'means', 'option', 'assigned', 'longer', 'now', 'how']","['ron desantis saying that he is going to drop out of the election race immediately ', 'it is an image of ron desantis if he were a member a 2009 boy band', 'this shows a ron desantis as a fall out boy ', 'ron desansis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option ', 'ron desantis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option']",Ron Desantis,Scandal Fabrication
21,11,21_deepfake_could_they_online,"['deepfake', 'could', 'they', 'online', 'videos', 'deepfakes', 'because', 'obama', 'warning', 'barack']","['a deepfake of barack obama is sharing a message to his audience that they should be wary about videos they see on the internet because they could be a deepfake even if they look real ', 'an extremely realistic deepfake of barack obama is warning people to be wary of videos they see online because they could be deepfakes', 'a deepfake of barack obama is warning viewers to be careful when watching videos online because they could be deepfakes ', 'a deepfake of barack obama is warning the audience to take care when watching a video online because it could also be a deepfake ', 'a hyperrealistic deepfake of barack obama is warning his audience to take care when watching videos online because they could also be a deepfake ']",Barack Obama,Others
-1,,,,,,Others
